idx,Name,Points,Discipline,Gender,Sex
120,FILIP SCHENK,12.59,Lead,Male,1
121,ZIDA MA,12,Lead,Male,1
122,ELLIS ERNSBERGER,11.99,Lead,Male,1
123,SERGEI BYDTAEV,10.69,Lead,Male,1
124,DYLAN CHUAT,10.06,Lead,Male,1
125,GIOVANNI PLACCI,10,Lead,Male,1
126,MARTIN MOBRÅTEN,10,Lead,Male,1
127,LUKAS KÖB,9.87,Lead,Male,1
128,OSCAR BAUDRAND,9.75,Lead,Male,1
129,DIMITRI VOGT,9.27,Lead,Male,1
130,QINGHUA WANG,9,Lead,Male,1
131,WAN JAE JO,8,Lead,Male,1
132,JOSHUA FOURTEAU,8,Lead,Male,1
133,ANTOINE KAUFFMANN,8,Lead,Male,1
134,JOHN BROSLER,8,Lead,Male,1
135,TAISEI ISHIMATSU,8,Lead,Male,1
136,TIES VANCRAEYNEST,7.95,Lead,Male,1
137,DIEGO FOURBET,7.5,Lead,Male,1
138,MARTIN JECH,7.5,Lead,Male,1
139,CHANGFENG QU,7,Lead,Male,1
140,RUBEN FIRNENBURG,7,Lead,Male,1
141,MARK BRAND,6.35,Lead,Male,1
142,VALERIY KRYUKOV,6,Lead,Male,1
143,MYKHAYIL TKACHUK,5.45,Lead,Male,1
144,THÉO RAVANELLO,5,Lead,Male,1
145,ROMARIC GEFFROY,5,Lead,Male,1
146,RAHUL SAPRA,5,Lead,Male,1
147,ALFIAN MUHAMMAD FAJRI,5,Lead,Male,1
148,JOSH LEVIN,4.62,Lead,Male,1
149,SÉBASTIEN BERTHE,4.3,Lead,Male,1
150,ARSÈNE DUVAL,4.14,Lead,Male,1
151,ANATOLE BOSIO,4,Lead,Male,1
152,LEO AVEZOU,4,Lead,Male,1
153,AIDAN DOYLE,4,Lead,Male,1
154,SERGEI LUZHETSKII,4,Lead,Male,1
155,BRANDON BARRACLOUGH,3.9,Lead,Male,1
156,TOMAS RAVANAL,3.15,Lead,Male,1
157,CLEMENT VERNAISON,3,Lead,Male,1
158,CHEUNG-CHI SHOJI CHAN,3,Lead,Male,1
