idx,Country,Continent,Discipline,Medal,Count
1,GBR,Europe,Boulder,Gold,2
2,JPN,Asia,Boulder,Gold,4
3,KOR,Asia,Boulder,Gold,2
4,SLO,Europe,Boulder,Gold,2
5,USA,North America,Boulder,Gold,1
6,CZE,Europe,Boulder,Silver,1
7,GBR,Europe,Boulder,Silver,1
8,GER,Europe,Boulder,Silver,1
9,JPN,Asia,Boulder,Silver,7
10,SLO,Europe,Boulder,Silver,2
11,CZE,Europe,Boulder,Bronze,2
12,FRA,Europe,Boulder,Bronze,4
13,JPN,Asia,Boulder,Bronze,4
14,RUS,Europe,Boulder,Bronze,2
